actual,predicted
-0.1631780375436551,-0.1442248491969976
-0.16459192952580423,-0.1572391953485894
-0.1660061043429171,-0.15898592648809456
-0.16883445397714386,-0.16074654151628404
-0.1716628036113706,-0.1646217177114671
-0.1716628036113706,-0.17008044181030305
-0.17024891162922043,-0.16602576377389325
-0.17307726126344716,-0.1742843722940127
-0.17449115324559633,-0.17112475886559422
-0.1773197857147858,-0.17325535091299676
-0.18014813534901253,-0.16952738557268177
-0.1773197857147858,-0.16557949768613917
-0.17873367769693593,-0.16952738557268177
-0.18014813534901253,-0.16732107039999794
-0.18014813534901253,-0.1825548648962368
-0.185804834617465,-0.18382480950464483
-0.185804834617465,-0.18333359439990407
-0.19146125105095377,-0.18890776864246156
-0.1942896006851805,-0.19078838083180358
-0.199946299953633,-0.19573281993065358
-0.20560328205704917,-0.20872750405387386
-0.21550250577684127,-0.21952812927750262
-0.21974474739321717,-0.22114366475830793
-0.2282300791308591,-0.2196862263031834
-0.24378600211910467,-0.23449702648594659
-0.2550991178210459,-0.24199116932467343
-0.264998341540838,-0.24905174494967444
-0.2791403725469334,-0.271903278795573
-0.2876251386146479,-0.2799159079309625
0.0899592547195996,0.10272190176401523
-0.6694523392351988,-0.5982996736313613
-0.8221835023183823,-0.7838310699648747
-0.761373985182517,-0.7391770814143506
-0.6934935939610862,-0.6477307478684228
-0.7486464118284981,-0.7390073747795975
-0.6425833005450119,-0.6357385680461004
-0.7076353421322169,-0.6974946666783766
-1.3213872127593245,-1.3036250922058945
-1.2916892587649849,-1.2847315808884798
-1.1714843993103665,-1.1964398897720208
-0.8716793380823791,-0.9345818792011665
-0.7217768074683849,-0.7868854443317708
-0.8561234150941346,-0.8714696889936911
-0.935317487687434,-0.9409365701393052
-0.9664290508289604,-0.9729960963813056
-0.9791566241829782,-0.9743685524315651
-0.9918841975369971,-0.9739101864032348
-0.9777424493658653,-0.9673777784920717
-0.9692574004631861,-0.9570071210820187
-0.9070337085102078,-0.908363466409789
-0.9551159351270181,-0.9522492378944507
-0.9381458373216607,-0.9342207670238488
-0.9409741869558874,-0.9220790304354307
-0.9183468242121501,-0.9159718026044134
-0.9183468242121501,-0.9145345370870127
-0.8985486596075286,-0.8839195942538035
-0.9056198165280587,-0.8915892516409494
-0.9126906906136241,-0.9109018828388568
-0.8999631172596052,-0.9020807687447181
-0.8957203099733029,-0.8947825217464908
-0.8815785618021712,-0.8527869213362734
-0.9211754566813396,-0.9083783240746608
-0.949458953023603,-0.943841179985086
-0.9409741869558874,-0.928300460318909
-0.9381458373216607,-0.9351894159930626
-0.9282466136018687,-0.9320318225753265
-0.8136984534157031,-0.7951161058116486
-0.7302618563710641,-0.7276532542893829
-0.7246051571026116,-0.7249140010626541
-0.7104636917664436,-0.7096368335558226
-0.6708662312173489,-0.6784973640312395
-0.6920791363090096,-0.6865299109326375
-0.7246051571026116,-0.7215382217303987
-0.731676031188177,-0.7270847735486708
-0.6482397169785017,-0.6363088425772842
-0.7076353421322169,-0.6857720863256626
-0.7387471881087071,-0.7340237989659548
-0.6142998042027495,-0.6023427122731797
-0.685008545058407,-0.6842391796535838
-0.7132920414006694,-0.7132778261154081
-0.728847964388915,-0.726816047443754
-0.6227848531054287,-0.6353247730034819
-0.7132920414006694,-0.7100987803593152
-0.6623817479845961,-0.6600670200444634
-0.7585456355482902,-0.746999291684274
-0.5803593257570699,-0.5416675480144483
-0.438941844045755,-0.43608526465382963
-0.37106145282432423,-0.3616293441073249
-0.3441924141341374,-0.34285402169746837
-0.3498491134025909,-0.3439683523434091
-0.35691998748815623,-0.35184068671123614
-0.3682331031900975,-0.3583125013108134
-0.37530426011062756,-0.3625573207960119
-0.37954678456196617,-0.3691934927507711
-0.38520348383041964,-0.38090996353451767
-0.38944600828175824,-0.387361230937446
-0.3951027075502107,-0.39399374833403455
-0.4021735816357771,-0.40226713065652026
-0.4106586305384563,-0.41489085134970993
-0.4219717462403975,-0.4238536289888609
-0.4262142706917371,-0.422874747201843
-0.4290426203259629,-0.42329717408216266
-0.43187096996018964,-0.4277904370996292
-0.43611349441152925,-0.4290363302490844
-0.4516694173997738,-0.45437000285265733
-0.4672253403880184,-0.465993901249453
-0.47853902175988705,-0.4734416187164618
-0.4983374691994712,-0.4941872625324021
-0.5039941684679237,-0.5018677296170734
-0.5124789345356392,-0.51075263610959
-0.5237926159075079,-0.522536246024683
-0.5294487495060339,-0.5293495220717302
-0.5421766056950155,-0.5440232305392371
-0.5648031199338627,-0.5622854126421379
-0.5888443746597491,-0.5892199131254529
-0.5973297063973921,-0.5927512468193071
-0.6029861228308808,-0.5976337220031299
-0.6029861228308808,-0.6023979516256901
-0.6058144724651066,-0.6058668596357698
-0.6256129199046908,-0.6223985183441475
-0.6425833005450119,-0.6399230567473031
-0.6595531155154066,-0.6560366595270188
-0.6878368946926328,-0.6844776226895637
-0.7048067096630275,-0.7074493830939229
-0.7132920414006694,-0.7123905919943974
0.1974368236551624,0.20250654902897938
0.29784323567019516,0.28730086758999024
0.3289550816466853,0.3209883261165729
0.35440994551975824,0.3581966168779751
-0.1773197857147858,-0.17183080355381286
-0.5082366929192633,-0.5544035835508818
-1.0258246759826757,-1.0380944797656302
-1.0229960435134862,-1.0364751240213121
-1.6367479141405932,-1.587393218680044
-1.397752370048471,-1.370317395566574
-1.0031978789088658,-0.9879106596243351
-0.9183468242121501,-0.9146752056756148
-0.9749140997316396,-0.9787789634073266
-0.8844071942713606,-0.856482439979731
-0.9720857500974128,-0.9778809680551589
-0.9183468242121501,-0.9087516748116399
-0.7557172859140645,-0.7744025535080236
-0.7444036045421958,-0.7482218991751981
-0.6284412695389175,-0.6320898745072651
-0.6369266012765594,-0.6423002280002202
-0.6256129199046908,-0.6290352738723979
-0.6369266012765594,-0.6534723221893997
-0.6058144724651066,-0.6191775786217284
-0.7627878771646671,-0.7642586585713593
-0.6142998042027495,-0.6136209595622998
-0.6058144724651066,-0.6156572932364928
-0.6058144724651066,-0.6085769121250231
-0.6298557271909941,-0.6337824192665112
-0.6878368946926328,-0.6909565326616688
-0.7246051571026116,-0.7175150590664704
-0.5945013567631654,-0.6075956354522062
-0.7246051571026116,-0.7200323072110295
-0.7132920414006694,-0.7110858494921836
-0.6369266012765594,-0.6326604563346415
-0.5365201892615257,-0.5448227379099989
-0.5930868991110888,-0.5929510805761824
-0.5082366929192633,-0.516343360954127
-0.492680487096055,-0.48147602553894686
-0.3540916378539295,-0.3564319445469007
-0.3668192112079483,-0.3505641356456397
-0.2763120229127067,-0.27945263202466725
-0.13206619156716495,-0.13682854238921083
-0.13630843318354186,-0.13360476281991493
-0.06559969232788436,-0.05273451129135567
-0.040144545619846705,-0.033100614662263494
0.050362642675393955,0.0422452679117661
0.16349634520948284,0.16341062264598535
0.183294792649067,0.18284608723577872
0.21016439700918024,0.19348997091126865
0.19178012438670894,0.1755453277202923
0.18046644301484027,0.17155152833578682
0.21016439700918024,0.1889756232463871
0.2738019809443087,0.2581118386341781
0.11258605179340951,0.12729352614411796
-0.04297289525407345,-0.04431821986355177
-0.06984249961418668,-0.05972491729688643
-0.1348945412013917,-0.13142974445340327
-0.18297648498323826,-0.19303769488606534
-0.2282300791308591,-0.2201700232569124
-0.25934164227238554,-0.25305126549952145
-0.2876251386146479,-0.28193894926554924
-0.31873726742610076,-0.31645102177351586
-0.3441924141341374,-0.33583954048808684
-0.37530426011062756,-0.3612099367760406
-0.3936882498981341,-0.3803579790097221
-0.40500193127000284,-0.39401366458546006
-0.4106586305384563,-0.3972104293726867
-0.4219717462403975,-0.40704249200726056
-0.4290426203259629,-0.4277083786257492
-0.43611349441152925,-0.43112775755288096
-0.44601300096628504,-0.4409321305243018
-0.4559122246860771,-0.43576705073674227
-0.4728823224914346,-0.4717633291721399
-0.48985213746182926,-0.4838963538344554
